"sep=	"
ECL_S02_TimestampSync_Unix_CAL	ECL_S02_GSR_Range_CAL	ECL_S02_GSR_Skin_Conductance_CAL	ECL_S02_GSR_Skin_Resistance_CAL	ECL_S02_PPG_A12_CAL	
ms	no_units	uS	kOhms	mV	
1.712646413137706E12	1.0	5.659149213156182	176.70500676589987	1363.3699633699632	
1.7126464131572073E12	1.0	5.659149213156182	176.70500676589987	1350.18315018315	
1.7126464131767083E12	1.0	5.654043981570114	176.8645598194131	1341.3919413919414	
1.7126464131962095E12	1.0	5.648938749984047	177.0244012652508	1342.1245421245421	
1.7126464132157107E12	1.0	5.643833518397978	177.18453188602442	1345.054945054945	
1.7126464132352117E12	1.0	5.643833518397978	177.18453188602442	1344.3223443223442	
1.712646413254713E12	1.0	5.63872828681191	177.34495246717972	1335.5311355311355	
1.7126464132742139E12	1.0	5.633623055225843	177.5056637970095	1323.8095238095236	
1.712646413293715E12	1.0	5.628517823639775	177.66666666666666	1318.6813186813185	
1.7126464133132163E12	1.0	5.628517823639775	177.66666666666666	1315.7509157509157	
1.7126464133327173E12	1.0	5.623412592053707	177.82796187017703	1320.14652014652	
1.7126464133522185E12	1.0	5.6183073604676395	177.9895502044525	1328.937728937729	
1.7126464133717195E12	1.0	5.6183073604676395	177.9895502044525	1342.1245421245421	
1.7126464133912207E12	1.0	5.613202128881572	178.1514324693042	1356.0439560439559	
1.7126464134107217E12	1.0	5.608096897295503	178.31360946745562	1390.4761904761904	
1.712646413430223E12	1.0	5.602991665709436	178.4760820045558	1451.2820512820513	
1.712646413449724E12	1.0	5.597886434123368	178.63885088919287	1520.8791208791208	
1.712646413469225E12	1.0	5.597886434123368	178.63885088919287	1575.8241758241757	
1.7126464134887263E12	1.0	5.5927812025373	178.80191693290735	1604.3956043956043	
1.7126464135082273E12	1.0	5.587675970951233	178.96528095020557	1630.03663003663	
1.7126464135277285E12	1.0	5.582570739365165	179.12894375857337	1638.095238095238	
1.7126464135472295E12	1.0	5.582570739365165	179.12894375857337	1621.9780219780218	
1.7126464135667307E12	1.0	5.582570739365165	179.12894375857337	1609.5238095238094	
1.712646413586232E12	1.0	5.57236027619303	179.4571690334402	1589.0109890109889	
1.712646413605733E12	1.0	5.57236027619303	179.4571690334402	1564.8351648351647	
1.7126464136252341E12	1.0	5.567255044606961	179.6217331499312	1526.007326007326	
1.712646413644735E12	1.0	5.567255044606961	179.6217331499312	1499.6336996336995	
