ms	no_units	uS	kOhms	mV	
1.7127131178502507E12	3.0	0.10989010989010992	9099.999999999998	1636.6300366300366	
1.712713117869753E12	3.0	0.10989010989010992	9099.999999999998	1605.128205128205	
1.7127131178892551E12	3.0	0.10989010989010992	9099.999999999998	1583.150183150183	
1.7127131179087576E12	3.0	0.10989010989010992	9099.999999999998	1575.091575091575	
1.7127131179282598E12	3.0	0.10989010989010992	9099.999999999998	1578.021978021978	
1.712713117947762E12	3.0	0.10989010989010992	9099.999999999998	1578.021978021978	
1.7127131179672642E12	3.0	0.10944610944610947	9136.916835699796	1577.2893772893772	
1.7127131179867664E12	3.0	0.10944610944610947	9136.916835699796	1580.2197802197802	
1.7127131180062686E12	3.0	0.10944610944610947	9136.916835699796	1575.8241758241757	
1.7127131180257708E12	3.0	0.10944610944610947	9136.916835699796	1547.985347985348	
1.712713118045273E12	3.0	0.10900210900210901	9174.134419551934	1513.5531135531135	
1.7127131180647754E12	3.0	0.10900210900210901	9174.134419551934	1477.6556776556777	
1.7127131180842776E12	3.0	0.10900210900210901	9174.134419551934	1443.2234432234432	
1.7127131181037798E12	3.0	0.10900210900210901	9174.134419551934	1420.5128205128203	
1.712713118123282E12	3.0	0.10855810855810857	9211.65644171779	1405.8608058608058	
1.7127131181427842E12	3.0	0.10900210900210901	9174.134419551934	1399.2673992673992	
1.7127131181622864E12	3.0	0.10855810855810857	9211.65644171779	1392.6739926739926	
1.7127131181817886E12	3.0	0.10855810855810857	9211.65644171779	1372.161172161172	
1.7127131182012908E12	3.0	0.10855810855810857	9211.65644171779	1344.3223443223442	
1.7127131182207932E12	3.0	0.10855810855810857	9211.65644171779	1324.5421245421244	
1.7127131182402954E12	3.0	0.10855810855810857	9211.65644171779	1311.3553113553112	
1.7127131182597976E12	3.0	0.10811410811410813	9249.486652977412	1309.89010989011	
1.7127131182792998E12	3.0	0.10811410811410813	9249.486652977412	1311.3553113553112	
1.712713118298802E12	3.0	0.10811410811410813	9249.486652977412	1305.4945054945053	
1.7127131183183042E12	3.0	0.10811410811410813	9249.486652977412	1303.2967032967033	
1.7127131183378064E12	3.0	0.10811410811410813	9249.486652977412	1307.6923076923076	
1.7127131183573086E12	3.0	0.10811410811410813	9249.486652977412	1323.8095238095236	
1.7127131183768108E12	3.0	0.10811410811410813	9249.486652977412	1375.091575091575	
1.7127131183963132E12	3.0	0.10811410811410813	9249.486652977412	1517.9487179487178	
1.7127131184158154E12	3.0	0.10855810855810857	9211.65644171779	1724.5421245421244	
1.7127131184353176E12	3.0	0.10855810855810857	9211.65644171779	1925.2747252747251	
1.7127131184548198E12	3.0	0.10900210900210901	9174.134419551934	2060.8058608058604	
1.712713118474322E12	3.0	0.10900210900210901	9174.134419551934	2111.355311355311	
1.7127131184938242E12	3.0	0.10900210900210901	9174.134419551934	2080.5860805860802	
1.7127131185133264E12	3.0	0.10900210900210901	9174.134419551934	2017.5824175824175	
1.7127131185328286E12	3.0	0.10944610944610947	9136.916835699796	1936.9963369963368	
1.712713118552331E12	3.0	0.10944610944610947	9136.916835699796	1850.5494505494505	
1.7127131185718333E12	3.0	0.10944610944610947	9136.916835699796	1763.3699633699632	
1.7127131185913354E12	3.0	0.10944610944610947	9136.916835699796	1684.9816849816848	
1.7127131186108376E12	3.0	0.10944610944610947	9136.916835699796	1611.7216117216117	
1.7127131186303398E12	3.0	0.10944610944610947	9136.916835699796	1569.230769230769	
1.712713118649842E12	3.0	0.10944610944610947	9136.916835699796	1563.3699633699632	
1.7127131186693442E12	3.0	0.10944610944610947	9136.916835699796	1572.8937728937728	
1.7127131186888464E12	3.0	0.10944610944610947	9136.916835699796	1572.8937728937728	
1.7127131187083489E12	3.0	0.10944610944610947	9136.916835699796	1570.6959706959706	
1.712713118727851E12	3.0	0.10944610944610947	9136.916835699796	1557.5091575091574	
1.7127131187473533E12	3.0	0.10944610944610947	9136.916835699796	1552.3809523809523	
1.7127131187668555E12	3.0	0.10944610944610947	9136.916835699796	1542.8571428571427	
1.7127131187863577E12	3.0	0.10900210900210901	9174.134419551934	1522.3443223443223	
1.7127131188058599E12	3.0	0.10900210900210901	9174.134419551934	1490.10989010989	
1.712713118825362E12	3.0	0.10900210900210901	9174.134419551934	1454.212454212454	
1.7127131188448643E12	3.0	0.10900210900210901	9174.134419551934	1420.5128205128203	
1.7127131188643667E12	3.0	0.10900210900210901	9174.134419551934	1386.8131868131868	
1.712713118883869E12	3.0	0.10900210900210901	9174.134419551934	1362.6373626373625	
1.712713118903371E12	3.0	0.10900210900210901	9174.134419551934	1347.985347985348	
1.7127131189228733E12	3.0	0.10855810855810857	9211.65644171779	1328.2051282051282	
1.7127131189423755E12	3.0	0.10855810855810857	9211.65644171779	1315.7509157509157	
1.7127131189618777E12	3.0	0.10855810855810857	9211.65644171779	1315.018315018315	
1.71271311898138E12	3.0	0.10855810855810857	9211.65644171779	1307.6923076923076	
1.712713119000882E12	3.0	0.10855810855810857	9211.65644171779	1291.5750915750914	
